Annex VII: Glossary,,,,
Bioenergy with carbon dioxide capture and storage ,BECCS) ,Q31080184,scientific article,"['Q31080184', 'Q2577671']"
Biogenic volatile organic compounds ,BVOCs) ,Q56990835,article,"['Q56990835', 'Q58058976', 'Q58059094', 'Q59345221', 'Q57036133']"
Biogeophysical potential ,,Q34570134,scientific article,['Q34570134']
Biological ,carbon) pump ,Q420,"scientific study of living things, especially their structure, function, growth, evolution, and distribution","['Q420', 'Q1063', 'Q7100', 'Q25615', 'Q40397']"
Biomass ,,Q18537,biological material used as a renewable energy source,"['Q18537', 'Q100760137', 'Q2945560', 'Q18556', 'Q2264123']"
Biosphere ,terrestrial and marine) ,Q616371,Norwegian musician,"['Q616371', 'Q42762', 'Q752181', 'Q68139', 'Q1551511']"
Bipolar seesaw ,"also inter-hemispheric seesaw, inter-hemispheric asymmetry, hemispheric asymmetry)  ",Q58392099,,"['Q58392099', 'Q40848897', 'Q35160566', 'Q56431763', 'Q36056651']"
AVIIbipolar seesaw and applied to millennial scales ,"Broecker, 1998) with a similar thermohaline mechanism ",,,
Black carbon ,BC) ,Q57382788,article,"['Q57382788', 'Q764245', 'Q62702218', 'Q18208141', 'Q58263269']"
Blocking ,,Q20514253,distributed data store for digital transactions,"['Q20514253', 'Q816759', 'Q1868462', 'Q324089', 'Q1348006']"
Blue carbon ,,Q54987844,scholarly article by Trisha B. Atwood published in September 2015,"['Q54987844', 'Q56969462', 'Q97681235', 'Q39088509', 'Q57208913']"
Brewer–Dobson circulation ,,Q57881212,scholarly article,"['Q57881212', 'Q58312831', 'Q57997253', 'Q57915019', 'Q56837592']"
Burden ,,Q720832,American sculptor and performance artist,"['Q720832', 'Q27964433', 'Q26828149', 'Q30389361', 'Q12848191']"
Business as usual ,BAU) ,Q5001844,episode of Star Trek: Deep Space Nine (S5 E18),"['Q5001844', 'Q5001845', 'Q3286599', 'Q3284139', 'Q12106382']"
13,,Q663,metallic chemical element of silvery appearance with symbol Al and atomic number 13,"['Q663', 'Q175129', 'Q37141', 'Q11312', 'Q7049']"
14,,Q422658,chemical compound,"['Q422658', 'Q670', 'Q7034', 'Q38582', 'Q905316']"
Calving ,of glaciers or ice sheets) ,Q452065,French operatic soprano (1858-1942),"['Q452065', 'Q181391', 'Q1456403', 'Q2300444', 'Q2073921']"
Canopy temperature ,,Q92040140,scientific article published on 01 February 2020,"['Q92040140', 'Q100737054', 'Q90218925', 'Q37475059', 'Q57201045']"
Carbon budget ,,Q57261996,scientific article,"['Q57261996', 'Q57143114', 'Q55933710', 'Q59060574', 'Q107046993']"
Carbon cycle ,,Q57037071,,"['Q57037071', 'Q167751', 'Q57182252', 'Q58267207', 'Q89109865']"
Carbon dioxide ,CO,Q1997,chemical compound,"['Q1997', 'Q56298528', 'Q5037959', 'Q12371749', 'Q5037960']"
AVIIis the reference gas against which other GHGs are measured and therefore has a ,,,,
Carbon dioxide ,CO,Q1997,chemical compound,"['Q1997', 'Q56298528', 'Q5037959', 'Q12371749', 'Q5037960']"
Carbon dioxide capture and storage ,CCS) ,Q41491,process of capturing and storing waste carbon dioxide from point sources,"['Q41491', 'Q59284244', 'Q57764153', 'Q60716986', 'Q34244093']"
Carbon dioxide removal ,CDR) ,Q89771350,scientific article published on 18 February 2020,"['Q89771350', 'Q57020644', 'Q59319669', 'Q58069134', 'Q63443182']"
Carbon neutrality ,,Q57924410,article published in 2015,"['Q57924410', 'Q1774424', 'Q60746147', 'Q61759165', 'Q112881673']"
Carbon sequestration ,,Q37086115,scientific article published on 13 February 2008,"['Q37086115', 'Q28756006', 'Q15305550', 'Q112886000', 'Q58392351']"
Carbon–climate feedback ,,Q35597913,scientific article published on April 2015,"['Q35597913', 'Q28611158', 'Q33881397', 'Q31033881', 'Q58650119']"
Carbonaceous aerosol ,,Q24273280,scholarly article,"['Q24273280', 'Q28728726', 'Q58290127', 'Q57193835', 'Q57263956']"
Carbonate counter pump ,,Q55316960,scientific article,"['Q55316960', 'Q58304911', 'Q113350990']"
Carbonate pump ,,Q55316960,scientific article,"['Q55316960', 'Q58617510', 'Q37431931', 'Q34403366', 'Q58304911']"
Catchment ,,Q14373,activity of trying to ,"['Q14373', 'Q75851', 'Q166620', 'Q557913', 'Q278208']"
Cenozoic Era ,,Q28596803,scientific article,"['Q28596803', 'Q28654226', 'Q102416', 'Q26185', 'Q55810']"
Central Pacific El Niño ,,Q33766416,scientific article,"['Q33766416', 'Q37472122', 'Q58310793', 'Q58061231', 'Q58384243']"
Chaotic ,,Q190132,motion characterized by ,"['Q190132', 'Q2956479', 'Q1070304', 'Q91484865', 'Q1787424']"
Charcoal ,,Q177463,fuel,"['Q177463', 'Q2957662', 'Q113714466', 'Q1424515', 'Q729340']"
Chlorofluorocarbons ,CFCs) ,Q960800,"hydrocarbon derivative that contains only carbon, chlorine and fluorine","['Q960800', 'Q161276', 'Q420380', 'Q35417449', 'Q59083912']"
Chronology ,,Q130788,science of arranging events in order of occurrence,"['Q130788', 'Q60740705', 'Q67439188', 'Q2448627', 'Q5114163']"
Cirrus cloud thinning ,CCT) ,Q57258497,,"['Q57258497', 'Q58307127', 'Q59722157', 'Q57954437', 'Q42698049']"
Clathrate ,methane) ,Q28254680,scientific article,"['Q28254680', 'Q864080', 'Q781204', 'Q93244834', 'Q389036']"
Clausius–Clapeyron equation/relationship ,,Q111092568,,['Q111092568']
AVIIpressure per unit change in air temperature.,,,,
Climate ,,Q125928,"change in the statistical distribution of weather patterns for an extended period, not necessarily current or recent","['Q125928', 'Q7942', 'Q7937', 'Q52139', 'Q60674974']"
Climate change ,,Q125928,"change in the statistical distribution of weather patterns for an extended period, not necessarily current or recent","['Q125928', 'Q171183', 'Q1931364', 'Q1970247', 'Q15816833']"
Climate change commitment ,,Q57539796,scholarly article by Kirsten Zickfeld et al published August 2013 in Journal of Climate,"['Q57539796', 'Q96609537', 'Q58258209', 'Q58313175', 'Q33897634']"
Climate extreme ,extreme weather or climate event) ,Q28541552,scientific article,"['Q28541552', 'Q58304606', 'Q58082605', 'Q58268319', 'Q57249123']"
Climate feedback ,,Q58650119,scholarly article by Scott Zolkos et al published 22 September 2018 in Geophysical Research Letters,"['Q58650119', 'Q58076147', 'Q34728288', 'Q57949543', 'Q58391576']"
Climate feedback parameter ,,Q57539873,,"['Q57539873', 'Q58072167', 'Q58079016', 'Q56837469']"
Climate forecast ,,Q58239220,,"['Q58239220', 'Q58239222', 'Q57207140', 'Q58320687', 'Q58320684']"
Climate index ,,Q58309980,,"['Q58309980', 'Q15756612', 'Q61734409', 'Q57570653', 'Q1970247']"
Climate indicator ,,Q34368841,scientific article,"['Q34368841', 'Q58767054', 'Q57892114', 'Q73008536', 'Q81137773']"
AVIIin the AR6 WGI report.,,,,
Climate information ,,Q58408720,,"['Q58408720', 'Q57887281', 'Q58313646', 'Q58077271', 'Q33725365']"
Climate metrics ,,Q57160465,article,"['Q57160465', 'Q57950044', 'Q57402974', 'Q58400458', 'Q58393945']"
Climate model ,,Q33934383,scientific article,"['Q33934383', 'Q30665563', 'Q57175975', 'Q57176009', 'Q620920']"
Climate pattern ,,Q125928,"change in the statistical distribution of weather patterns for an extended period, not necessarily current or recent","['Q125928', 'Q7942', 'Q39857804', 'Q53830317', 'Q112936212']"
Climate prediction ,,Q58238238,scholarly article by Noel Keenlyside & Jin Ba published 2 August 2010 in Wiley Interdisciplinary Reviews: WIREs Climate Change,"['Q58238238', 'Q5133443', 'Q56984855', 'Q3042001', 'Q1101446']"
Climate projection ,,Q57652475,,"['Q57652475', 'Q30681435', 'Q57866646', 'Q58105388', 'Q31139434']"
Climate response ,,Q55953660,article,"['Q55953660', 'Q56877888', 'Q56865774', 'Q58384605', 'Q56047964']"
Climate services ,,Q59818122,scholarly article by Bart J.J.M. van den Hurk et al published March 2016 in Climate Services,"['Q59818122', 'Q57948949', 'Q50817442', 'Q88932531', 'Q57887228']"
Climate simulation ensemble ,,Q30836639,scientific article,"['Q30836639', 'Q30951939', 'Q56576077', 'Q55966688', 'Q57894540']"
AVIIsimulations with observations wherever available.,,,,
Climate system ,,Q190946,arid climate subtype in the Köppen climate classification system,"['Q190946', 'Q58318411', 'Q921851', 'Q124095', 'Q863882']"
Climate threshold ,,Q30577169,scientific article,"['Q30577169', 'Q92282810', 'Q58388786', 'Q57144600', 'Q92217298']"
Climate variability ,,Q58317235,,"['Q58317235', 'Q58394140', 'Q30785682', 'Q58413597', 'Q112847422']"
Climate velocity ,,Q58117012,article,"['Q58117012', 'Q64252891', 'Q46698427', 'Q31048206', 'Q30752784']"
Climate–carbon cycle feedback ,,Q31162109,scientific article,"['Q31162109', 'Q58380873', 'Q28138410', 'Q56810273', 'Q57985390']"
Climatic impact-driver ,CID) ,Q31160246,scientific article,"['Q31160246', 'Q50099513', 'Q120356883', 'Q58540297', 'Q113904346']"
Cloud condensation nuclei ,CCN) ,Q58065252,journal article; published in Aerosol Science and Technology in 2006,"['Q58065252', 'Q58145013', 'Q58251122', 'Q58316893', 'Q59065839']"
Cloud feedback ,,Q58258642,article,"['Q58258642', 'Q58400246', 'Q56782932', 'Q58059878', 'Q58258613']"
Cloud radiative effect ,,Q36957169,scientific article published on February 2016,"['Q36957169', 'Q57921294', 'Q58098936', 'Q58392424', 'Q59783084']"
Cloud-resolving models ,CRMs) ,Q57270447,article,"['Q57270447', 'Q58306062', 'Q58063745', 'Q58392486', 'Q58306057']"
CMIP6 ,,Q56286588,,"['Q56286588', 'Q97528893', 'Q57264330', 'Q57264328', 'Q90613494']"
CO,,Q739,sovereign state in South America,"['Q739', 'Q8093', 'Q1261', 'Q2025', 'Q740']"
Coast ,,Q1008,sovereign state in West Africa,"['Q1008', 'Q11224', 'Q140075', 'Q1135204', 'Q93352']"
Common era ,CE) ,Q58241765,article,"['Q58241765', 'Q38373243', 'Q58766410', 'Q100416018', 'Q58766358']"
AVII,,Q42687145,scientific article published on 27 November 2014,"['Q42687145', 'Q39093470', 'Q60036419', 'Q7082065', 'Q24205959']"
Compatible emissions ,,Q30382374,scientific article,"['Q30382374', 'Q46494445', 'Q38739427', 'Q30382488', 'Q36666501']"
Compound events ,,Q58387240,,"['Q58387240', 'Q41012864', 'Q59329115', 'Q102379194', 'Q57866849']"
Compound weather/climate events ,,Q114182787,scientific article published in November 2021,"['Q114182787', 'Q111089398', 'Q114174154']"
Concentrations scenario ,,Q34611844,scientific article,"['Q34611844', 'Q30700850', 'Q31144963', 'Q56990797', 'Q92072793']"
Confidence ,,Q652586,2003 film by James Foley,"['Q652586', 'Q2992482', 'Q7023752', 'Q97125301', 'Q868725']"
Constant composition commitment ,,,,
Constant emissions commitment ,,,,
Convection ,,Q160329,heat transfer due to the bulk movement of molecules within fluids,"['Q160329', 'Q720398', 'Q48633', 'Q951722', 'Q1019460']"
Convection-permitting models ,,Q30378117,scientific article,"['Q30378117', 'Q58385919', 'Q57818445', 'Q59837778', 'Q56575741']"
Coral bleaching ,,Q35111323,scientific article,"['Q35111323', 'Q37439178', 'Q59064742', 'Q56018434', 'Q101159647']"
Coral reef ,,Q11292,ridge of rock in the sea formed by the growth and deposit of coral,"['Q11292', 'Q386154', 'Q1701387', 'Q19866176', 'Q27714611']"
Coupled Model Intercomparison Project ,CMIP) ,Q58262201,article,"['Q58262201', 'Q58262144', 'Q58268042', 'Q109934931', 'Q38217200']"
Cryosphere ,,Q2313055,Scientific journal,"['Q2313055', 'Q58039978', 'Q493109', 'Q112951743', 'Q241284']"
Cumulative emissions ,,Q57017427,article,"['Q57017427', 'Q28751236', 'Q33437648', 'Q57932493', 'Q69250662']"
Dansgaard–Oeschger events ,D-O events) ,Q38265930,scientific article,"['Q38265930', 'Q57532745', 'Q58114246', 'Q59940821', 'Q58090120']"
Data assimilation ,,Q33989140,scientific article,"['Q33989140', 'Q59848563', 'Q110142261', 'Q110143237', 'Q58394764']"
Dead zones ,,Q35408867,scientific article,"['Q35408867', 'Q34808909', 'Q69123169', 'Q57694309', 'Q81014380']"
Decadal predictability ,,Q58090131,scholarly article by Yoshimitsu Chikamoto et al published 18 January 2015 in Climate Dynamics,"['Q58090131', 'Q58239131', 'Q58384732', 'Q41954153', 'Q58388558']"
Decadal prediction ,,Q58384691,article,"['Q58384691', 'Q58413572', 'Q58254401', 'Q57707829', 'Q57917496']"
Decadal variability ,,Q58393412,article,"['Q58393412', 'Q57229909', 'Q58321159', 'Q59189691', 'Q58257961']"
Deep uncertainty ,,Q92049372,scientific article published on 18 July 2019,"['Q92049372', 'Q38951622', 'Q57071108', 'Q57934522', 'Q63614409']"
Deforestation ,,Q169940,removal of forest and conversion of the land to non-forest use,"['Q169940', 'Q78217313', 'Q5251686', 'Q76441609', 'Q6484044']"
AVII,,Q42687145,scientific article published on 27 November 2014,"['Q42687145', 'Q39093470', 'Q60036419', 'Q7082065', 'Q24205959']"
Deglacial or deglaciation or glacial termination ,,,,
Detection ,,Q47528,object detection system based on radio waves,"['Q47528', 'Q504027', 'Q2534486', 'Q745881', 'Q11681085']"
Detection and attribution ,,Q57207094,,"['Q57207094', 'Q58388130', 'Q58385825', 'Q91474448', 'Q56771446']"
Diatoms ,,Q5203615,diatomic molecule,"['Q5203615', 'Q162678', 'Q150693', 'Q9126910', 'Q920264']"
Dimensions of integration ,,Q35026665,scientific article,"['Q35026665', 'Q30402955', 'Q37374466', 'Q38937590', 'Q93586054']"
Direct ,aerosol) effect ,Q195833,cycling team,"['Q195833', 'Q21915603', 'Q159241', 'Q1954915', 'Q188695']"
Direct air capture ,DAC) ,Q48193167,scientific article,"['Q48193167', 'Q92092146', 'Q56867707', 'Q55992517', 'Q46448200']"
Disaster ,,Q3839081,"hazard resulting in an event causing significant physical damage, destruction or death","['Q3839081', 'Q1460420', 'Q8065', 'Q486', 'Q846544']"
Discharge ,of ice) ,Q33741,weather phenomenon involving electrostatic ,"['Q33741', 'Q44782', 'Q778502', 'Q1228418', 'Q2140674']"
Dissolved inorganic carbon ,,Q58262777,article published in 2008,"['Q58262777', 'Q58195402', 'Q35672672', 'Q58306611', 'Q83263343']"
Diurnal temperature range ,DTR) ,Q57225920,,"['Q57225920', 'Q37583198', 'Q57239941', 'Q36160556', 'Q57309071']"
Downscaling ,,Q58384271,article,"['Q58384271', 'Q57249152', 'Q112888448', 'Q440296', 'Q58380811']"
Drought ,,Q108673079,Spanish–Portuguese television series,"['Q108673079', 'Q43059', 'Q113394119', 'Q12142810', 'Q56736479']"
Dynamic global vegetation model ,DGVM) ,Q57949495,article,"['Q57949495', 'Q57161061', 'Q57033643', 'Q58401761', 'Q57033801']"
Dynamical downscaling ,,Q58395078,,"['Q58395078', 'Q58389833', 'Q58388120', 'Q60569925', 'Q58304061']"
Dynamical system ,,Q638328,mathematical model which describes the time dependence of a point in a geometrical space,"['Q638328', 'Q2665508', 'Q2072471', 'Q378637', 'Q7291964']"
Early Eocene Climatic Optimum ,EECO) ,Q48109747,scientific article,"['Q48109747', 'Q58386942', 'Q58457432', 'Q110668708', 'Q109918953']"
Earth system model ,ESM) ,Q63970615,scholarly article by Sifan Gu et al published March 2019 in Journal of Advances in Modeling Earth Systems,"['Q63970615', 'Q104681105', 'Q58074734', 'Q58068099', 'Q57893140']"
AVIIof atmospheric ,,,,
Earth system model of intermediate complexity ,EMIC) ,Q27500500,scientific article (publication date: 16 May 2013),"['Q27500500', 'Q58076491', 'Q58076500', 'Q61046473', 'Q57090637']"
Earth’s energy budget ,,Q55950978,article,"['Q55950978', 'Q58055559', 'Q46233586', 'Q58258622', 'Q28651613']"
Earth’s energy imbalance ,,Q21129060,scholarly article,"['Q21129060', 'Q84540479', 'Q41822471', 'Q36124275', 'Q28247509']"
Earth system sensitivity ,,Q34255967,scientific article,"['Q34255967', 'Q57893010', 'Q98568783', 'Q58413320', 'Q58389024']"
Effective equilibrium climate sensitivity ,,,,
East Antarctic Ice Sheet ,EAIS) ,Q56334442,scientific article published in Nature Communications,"['Q56334442', 'Q30647994', 'Q90288324', 'Q59837423', 'Q58394466']"
East Asian monsoon ,EAsiaM) ,Q37687715,scientific article published on 17 March 2014,"['Q37687715', 'Q39577232', 'Q58191255', 'Q59267620', 'Q59707043']"
Eastern boundary upwelling systems ,EBUS) ,Q92288540,scientific article published on 27 December 2019,"['Q92288540', 'Q38634517', 'Q58316633', 'Q59139531', 'Q58315250']"
Eastern Pacific El Niño ,,Q27331681,scientific article,"['Q27331681', 'Q90440387', 'Q58061867', 'Q58305847', 'Q58395989']"
Effective radiative forcing ,ERF) ,Q61307154,,"['Q61307154', 'Q57921321', 'Q56286588', 'Q63951581', 'Q110320214']"
Ekman transport ,,Q51140251,scientific article published in January 2010,"['Q51140251', 'Q57573919', 'Q58651566', 'Q34676413', 'Q58386964']"
El Niño ,,Q17859530,2014 film directed by Daniel Monzón,"['Q17859530', 'Q35831601', 'Q7939', 'Q30314503', 'Q14524818']"
El Niño–Southern Oscillation ,ENSO) ,Q57898191,,"['Q57898191', 'Q59760180', 'Q57898303', 'Q58387062', 'Q56047955']"
Electromagnetic spectrum ,,Q76299,portion of the electromagnetic spectrum that is visible to the human eye,"['Q76299', 'Q133139', 'Q902174', 'Q18612904', 'Property:P1227']"
Elevation-dependent warming ,EDW) ,Q49923497,scientific article published on 8 February 2018,"['Q49923497', 'Q56656459', 'Q58405866', 'Q114177457', 'Q112766166']"
AVIIchange ,,,,
Emergent constraint ,,Q101475800,scholarly article,"['Q101475800', 'Q96577337', 'Q101165850', 'Q58305931', 'Q47561283']"
Emission factor/Emissions intensity ,,Q89017788,scientific article published on 07 June 2018,"['Q89017788', 'Q90563049', 'Q90454103', 'Q91442715', 'Q92043057']"
Emission pathways ,,Q58384512,,"['Q58384512', 'Q104492928', 'Q57265923', 'Q57932493', 'Q57104990']"
Emissions ,,Q38867,device which emits light via optical amplification,"['Q38867', 'Q21000630', 'Q208376', 'Q13632', 'Q849737']"
Emulation ,,Q202871,software that enables one computer system (called the host) to behave like another computer system (called the guest),"['Q202871', 'Q44599810', 'Q34489794', 'Q3205317', 'Q12310028']"
Emulators ,,Q624699,free virtualization and emulation software,"['Q624699', 'Q479783', 'Q1236429', 'Q596918', 'Q3309521']"
